title,name,date
[필독]통합규정 (2021.06.27),행사용흑염소,2020.04.01.
진지글이 아닌데 진지로 글 쓴 분들 다 처형예정임,새로고침,2021.06.27.
[진지][공지] 질문 게시판이 만들어졌습니다.,새로고침,2021.06.27.
[공지]카페 입점업체 목록 (2021.06.15),흑염소,2020.09.03.
[체험단 모집]64차 (미나브/후톤/구보) 체험단을 모집합니다 (6/25~6/29) (주간체험단),흑염소,2021.06.25.
[공지] entrance 성수점,새로고침,2021.06.08.
[공지]친목/장난댓글 계도기간 (~6/30),흑염소,2021.06.26.
"[공지]캐치버드 글쓰기, 체험단 응모하기 등 수정 완료",신짱구,2021.06.25.
[공지](재공지) [구인] entrance 성수점 파트타이머 (~6/20),흑염소,2021.06.15.
[공지](재공지) [구인] entrance 성수점 파트타이머 (~6/20),흑염소,2021.06.10.
[공지]곡괭이 갈매기단 입단식,죠스타,2021.06.10.
[공지]브랜디드 카페에서는 단독적인 업체협찬을 동의하지 않습니다.,흑염소,2021.06.08.
[공지]여성관계자문제 관련해서 수정공지드립니다.,더누메로,2021.06.07.
61차 체험단 수정완료 (~17:29 완료),흑염소,2021.06.04.
[공지]캐치버드 세일 컨텐츠 발굴 서포터즈 “곡괭이갈매기단” 모집,흑염소,2021.06.01.
[공지]브랜디드 카페는 평화를 지향합니다,더누메로,2021.05.28.
[공지] 사장님 탈세하시나요?,새로고침,2021.05.28.
[필독]배너 체험단 관련 공지입니다.,흑염소,2021.05.28.
[공지]중고장터카페 6월중 캐치버드로 이전합니다,더누메로,2021.05.24.
[공지]부처님 오신날 기념 장터오픈,죠스타,2021.05.18.
[공지]젠더갈등 관련 게시글/댓글은 무통보 삭제됩니다.,흑염소,2021.05.04.
[공지]안녕하세요 흑염소입니다.,흑염소,2021.05.02.
"캐치버드 싸이트 ""새로고침"" 이벤트",더누메로,2021.04.29.
[공지][구인] 브랜디드 애드웍스 파트타임 편집자,흑염소,2021.04.21.
[공지]개인 협찬 관련 공지드립니다.,흑염소,2021.04.19.
[공지]기만 친목 관련 공지,흑염소,2021.04.15.
[필독]체험단 후기작성기한 수정,흑염소,2021.04.05.
장터등급 개편 및 게시판 추가 신설 안내,죠스타,2021.03.31.
[공지]새벽반 친목분위기 조성하지마세요.,흑염소,2021.03.30.
"[필독]""언금업체 및 스팸단어"" 관련 회원규정 개정했습니다.",흑염소,2021.03.20.
[필독]배너 체험단 당첨 관련공지,행사용흑염소,2021.03.15.
[공지]일단 타커뮤 관련글은 여기까지만 합시다.,더누메로,2021.03.08.
[공지]제재업체에 관한 정리 및 내용공지,행사용흑염소,2021.02.27.
"[공지]세터, satur (2/27~, 금칙어 조치)",행사용흑염소,2021.02.27.
[공지]금일 이후 게임관련 내전글/댓글 작성금지합니다.,행사용흑염소,2021.02.14.
파르티멘토 이슈관련 업체활동제한,행사용흑염소,2021.02.14.
[공지]농기구등급 삭제 및 신규 고인물등급 추가에 관한 공지,더누메로,2021.02.10.
[공지]질문글만 올리는 핑프활동은 제재 대상입니다. (특별 감시중),퍼밍,2021.02.09.
[공지]협찬 및 바이럴 제재 관련사항,행사용흑염소,2021.02.08.
[공지]뒷광고관련 쪽지 및 메일 신고자 포상지급,행사용흑염소,2021.02.04.
[공지]후방 ㅇㅎ 19게시글 금지기준입니다,행사용흑염소,2021.02.03.
[공지]특정 주제 닉네임 언급 게시글 관련 공지사항,행사용흑염소,2021.02.01.
[공지]코로나관련 뉴스글은 댓글을 막고 올려주시기 바랍니다.,행사용흑염소,2021.01.31.
[필독]후방글 제재처리 시작될예정입니다.,퍼밍,2021.01.30.
[필독]회원규정 추가 및 카페관련 문의창구에 대한 공지입니다.,행사용흑염소,2021.01.29.
[공지]카페내 비공식적인 홍보활동은 절대금지합니다.,행사용흑염소,2021.01.24.
[공지]1/14 이벤트 제품 출고현황,퍼밍,2021.01.14.
[공지]후방짤등 게시물 특별단속기간 연장 (무기한),더누메로,2021.01.12.
[공지]이벤트 제품 발송 누락 및 지연에 관하여 말씀드립니다.,퍼밍,2021.01.12.
[필독]카페스탭은 채팅을 보지않습니다.,퍼밍,2021.01.08.
음란게시물 특별단속 (~1/15) + 사유추가,더누메로,2021.01.04.
업체등록해지 (브랜즈),행사용흑염소,2020.12.30.
[캐치버드] 안사면 강퇴되는 새로운 장터 오픈 (구매자편),새로고침,2020.12.24.
[캐치버드] 안사면 강퇴되는 새로운 장터 오픈 (판매자편),새로고침,2020.12.24.
밀고게시판 사용법,죠스타,2020.12.18.
[공지]장터관련 공지드립니다~ (12/18),죠스타,2020.12.17.
[공지]BRANDED CAFE AWARDS 2020 후보선정 (~12/18. 끌올),더누메로,2020.12.13.
[공지]타카페 관련글은 지양해주시길 바랍니다.,퍼밍,2020.12.11.
금일부터 새벽 기만자들 캡쳐 후 공지로 박제예정입니다.,더누메로,2020.12.09.
[필독]배너체험단 지원 관련 공지입니다.,퍼밍,2020.12.06.
"[공지]본인의 발마칸,피코트 착샷이 레게노다???",퍼밍,2020.11.29.
[필독]업체 인스타 홍보 및 업체자체 카페내 이벤트에 관한 규정 변경,더누메로,2020.11.27.
[공지]업체 담당자분들 필독바랍니다,더누메로,2020.11.27.
[필독]이벤트 후기 미작성자 (숙청 예정자) 목록입니다. (끌올),퍼밍,2020.11.27.
[공지]금일 강퇴건에 대한 소명,퍼밍,2020.11.24.
[필독]뿌삐빠 및 이벤트 제품 수령시 이벤트 후기 작성해주셔야합니다.,퍼밍,2020.11.24.
[필독]11/21 뿌삐빠 이벤트 당첨자 공지입니다.(~11/22),퍼밍,2020.11.22.
[공지]코로나관련 정보공유 이외글은 임의삭제 될 수 있습니다.,더누메로,2020.11.19.
"[공지]회원규정 내 ""누적경고시 강퇴""건에 관한 변경사항",더누메로,2020.11.13.
[공지]금일부터 체험단/이벤트 상품에 대한 재추첨/양도/교환은 없습니다.,더누메로,2020.11.11.
닉네임 언급에 대한 제재사항,퍼밍,2020.11.07.
[공지][브랜디드 네이버 카페] 업체 승인 해지 관련 공지 및 해당 업체 리스트,행사용흑염소,2020.11.02.
[필독]이벤트 후기 미작성자 11/2,퍼밍,2020.11.02.
[필독][기만 특별 단속 기간 ~11/1],퍼밍,2020.10.29.
[필독]협찬 미게시건 제재 관련입니다.,퍼밍,2020.10.28.
[공지]안녕하세요 내전 관련 공지드립니다,죠스타,2020.10.22.
[필독]이벤트 후기 미작성자 (숙청 예정자) 목록입니다.,퍼밍,2020.10.21.
크리드옴므 최근 이슈 관련 업체 활동 제한,행사용흑염소,2020.10.14.
[공지]당분간 가짜사나이 관련글 퍼오지도 쓰지도 마세요.,더누메로,2020.10.13.
[필독]브랄 3만이벤트 후기 미작성자(숙청 예정자),퍼밍,2020.10.11.
[필독]플랜브룩배 마니또 이벤트 당첨제품 관련 공지사항,퍼밍,2020.10.09.
[공지]브랜디드카페 입점업체 정리중입니다.,더누메로,2020.10.08.
[공지](수정)[﻿플랜브룩] 우리는 브랄친구 이벤트 당첨자 공지,퍼밍,2020.10.06.
"[공지]특정 업체 비방 및 협찬요구, 친목 등 허위사실 유포, 유사 카르텔 행위",행사용흑염소,2020.10.02.
당분간 규정 및 회원신고 관련 문의는 퍼밍으로 부탁드리겠습니다.,퍼밍,2020.09.27.
[공지]체험단 지원 댓글 관련 사항입니다,행사용흑염소,2020.09.25.
[공지]이벤트 후기는 꼭 작성해주세요.,더누메로,2020.09.22.
[공지]설문조사 관련 몇가지 말씀드립니다,죠스타,2020.09.21.
[공지]설문조사 당첨자입니다,죠스타,2020.09.21.
솔드아웃 이벤트 글 수정후 재공지하도록 하겠습니다.,행사용흑염소,2020.09.14.
[공지]코로나 관련 게시글 주의요청,행사용흑염소,2020.09.13.
[구인] 브랜디드TV를 같이 꾸려나갈 인재를 구합니다.,더누메로,2020.09.09.
"[공지] 테이크어스트릿, takeastreet 언급 금지합니다.",신짱구,2020.09.03.
[공지]카페 입점업체 목록 (2021.06.15),흑염소,2020.09.03.
[공지]브랜디드 커뮤니티 관련 설문조사 부탁드리겠습니다 (사은품 있음),행사용흑염소,2020.09.02.
[공지]브랜디드카페 회원규정 (2021.06.27),흑염소,2020.08.31.
[공지]브랜디드카페 업체규정 (2021.06.21),흑염소,2020.08.31.
[필독]입점업체/회원의 카르텔 행위에 대한 브랜디드 카페의 입장 및 관련법령,더누메로,2020.08.26.
[공지][공지] 스탭 증원 및 단톡방 뒷담화 이야기,새로고침,2020.08.21.
[공지]업체규정 추가내용 (유튜브 브랜디드 TV 컨텐츠 제작),행사용흑염소,2020.08.07.
[공지][브랜디드] 규정신설 내용입니다.,행사용흑염소,2020.08.04.
[공지][착용사진 게시판] 회원분들 착용사진을 쓸때마다 1티어 치킨기프티콘 하나씩 드립니다.,행사용흑염소,2020.07.29.
[공지][착용사진 게시판] 에 올라온 착샷들을 브랜디드 인스타나 홍보용도로 쓰는건에 대해 회원분들 의견이 궁금합니다.,행사용흑염소,2020.07.29.
"[공지]회원 규정, 체험단 규정 신설내용 입니다.",행사용흑염소,2020.07.27.
[공지]브랜디드 회원 여러분께 공지드립니다.,죠스타,2020.07.22.
[공지] 브랜디드 중고장터 임시 개방,새로고침,2020.07.21.
[공지]도 넘는 친목행위 지양 부탁드립니다.,행사용흑염소,2020.07.15.
[공지]후기작성양식 개정되었으니 참고바랍니다.,더누메로,2020.07.02.
[공지] 중고장터 내 JMR(재미로) 매물 거래 불가 안내,새로고침,2020.06.27.
[공지]회원규정 일부수정 (2020.06.18),행사용흑염소,2020.06.18.
[공지] 후방짤 금지 안내,새로고침,2020.06.11.
[공지]업체규정 일부수정 (20.06.09),행사용흑염소,2020.06.09.
[공모전] 제1회 브랜디드 티셔츠 일러 공모전,새로고침,2020.06.03.
[공지]카페 규정 하나 추가하였습니다.,행사용흑염소,2020.05.28.
[공지] 입점업체들에게 촬영용 청바지를 무상대여해드립니다.,새로고침,2020.05.26.
[공지]업체규정 추가하였습니다.,행사용흑염소,2020.05.19.
[공지]불편한점이 있으시거나 건의사항은 스탭들에게 말씀해주시면 됩니다.,행사용흑염소,2020.05.18.
[공지] 브랜디드카페 운영 사업자등록 공시 안내,새로고침,2020.05.13.
[공지][공지] 무신사 조거 1등 관련한 글귀에 대하여 정정 게시글을 올립니다.,새로고침,2020.04.29.
[공지]체험단 규정 (2020.07.27),행사용흑염소,2020.04.16.
[필독]통합규정 (2021.06.27),행사용흑염소,2020.04.01.
[공지]업체규정 (2020.08.07),행사용흑염소,2020.04.01.
[공지]회원규정 (2020.07.27),행사용흑염소,2020.04.01.
[공지][공지] 브랜드 이벤트/서포터즈 모집 안내 (2020.03.16),새로고침,2020.03.16.
[공지][공지] 카페 내 업체 CS 글 삭제 후 경고처리 안내,새로고침,2020.03.03.
[공지][공지] 정치글 작성 제한 안내 (코로나글에 물타기 X),새로고침,2020.02.25.
[공지][공지] 업체 담합으로 인하여 야기되는 걱정에 대해,새로고침,2020.02.03.
[공지][공지] SNS 계정 공유글 임의삭제 안내,새로고침,2019.12.09.
[공지][공지] 브랜디드 중고장터 12월 15일까지만 가입신청 받습니다.,새로고침,2019.12.08.
[공지][공지] 유투브 리뷰영상 안내 (2019.12.03),새로고침,2019.12.03.
[필독] 회원 규정 안내(2020.03.18),새로고침,2019.11.25.
[필독] 브랜드/업체 규정 안내 (2020.3.30),새로고침,2019.11.25.
"[공지] 서포터즈, 협찬 제품 필히 표기 바랍니다.",게시판요정,2019.11.19.
[공지] 새로운 공인누렁소 발표,새로고침,2019.11.14.
[공지] 오픈채팅방 관련 글 작성 시 제재 처리 안내,새로고침,2019.11.11.
[공지] 유니클로 스팸처리 안내 (~2019. 12. 31까지),새로고침,2019.10.18.
[공지] 티스토리 블로그 링크 하지마세요,새로고침,2019.09.30.
[공지] 카페 연령제한 19세부터로 지정되었습니다.,새로고침,2019.09.10.
[필독] 여자사진 게시글에는 언어순화하셔서 글 써주세요,새로고침,2019.08.19.
[공지] 규정 신설 조항 안내,새로고침,2019.01.28.
"[공지] 정치이야기, -노 말투 쓰지마세요",새로고침,2018.11.29.
